Date,                                                    File name,Running time,         Clients,     Result,Z3 time,Waiting time,SIDecisionsTime,Inlining Call trees,,
,                                                   ,           ,                ,           ,317.15,12.78,28.92,67.38, rse-server-14,
,                                                   ,           ,                ,           ,283.98,27.8,47.27,60.36, rse-server-12,
,                                                   ,           ,                ,           ,342.68,31.69,19.31,23.02, rse-server-15,
8/30/2018 19:46,                  data\cyyport_irpcancelfield_0.bpl,    815.72s,       2 clients,         RB,1235.49,39.36,106.94,41.05,,
,                                                   ,           ,                ,           ,586.62,23.81,75.83,17, rse-server-13,
,                                                   ,           ,                ,           ,648.87,15.55,31.11,24.05, rse-server-14,
,,,,,,,,,,
,,,,,,,,,,
Date,                                                    File name,Running time,         Clients,     Result,Z3 time,Waiting time,SIDecisionsTime,Inlining Call trees,,
,OPTIMIZING WAITINGTIME,,,,,,,,,
8/30/2018 19:50,                   data\avc_ioallocateforward_1.bpl,     31.39s,       4 clients,         RB,28.33,42.22,3.47,15.84,,
,                                                   ,           ,                ,           ,5.17,14.45,0.75,3.22, rse-server-13,
,                                                   ,           ,                ,           ,12.67,7.72,1.63,0.42, rse-server-14,
,                                                   ,           ,                ,           ,4.3,10.78,0.36,6.17, rse-server-12,
,                                                   ,           ,                ,           ,6.19,9.27,0.73,6.03, rse-server-15,
8/30/2018 19:55,        data\61883_forwardedatbadirqlallocate_1.bpl,    129.59s,       4 clients,         RB,190.91,48.36,15.71,160.6,,
,                                                   ,           ,                ,           ,45.19,5.16,4.19,39.74, rse-server-13,
,                                                   ,           ,                ,           ,52.79,6.41,4.5,52.85, rse-server-14,
,                                                   ,           ,                ,           ,54.51,5.19,4.58,48.96, rse-server-12,
,                                                   ,           ,                ,           ,38.42,31.61,2.44,19.05, rse-server-15,
8/31/2018 8:56,        data\61883_forwardedatbadirqlallocate_1.bpl,    121.13s,       4 clients,         RB,140.47,225.1,7.17,63.63,,
,                                                   ,           ,                ,           ,33.66,52.89,1.14,22.63, rse-server-13,
,                                                   ,           ,                ,           ,38.1,47.38,1.09,24.67, rse-server-14,
,                                                   ,           ,                ,           ,26.38,66.43,1.39,16.33, rse-server-12,
,                                                   ,           ,                ,           ,42.33,58.4,3.55,0, rse-server-15,
8/31/2018 9:00,        data\61883_forwardedatbadirqlallocate_1.bpl,     99.39s,       4 clients,         RB,133.63,141.45,8.42,64.62,,
,                                                   ,           ,                ,           ,34.39,23.27,1.95,27.6, rse-server-13,
,                                                   ,           ,                ,           ,23.06,45.63,1.64,19.66, rse-server-14,
,                                                   ,           ,                ,           ,24.75,46.43,1.05,17.36, rse-server-12,
,                                                   ,           ,                ,           ,51.43,26.13,3.78,0, rse-server-15,
8/31/2018 9:04,        data\61883_forwardedatbadirqlallocate_1.bpl,     84.84s,       4 clients,         RB,130.56,36.05,10.13,58.25,,
,                                                   ,           ,                ,           ,21.83,15.06,1.61,12.92, rse-server-13,
,                                                   ,           ,                ,           ,46.02,7.95,2.91,18.33, rse-server-14,
,                                                   ,           ,                ,           ,26.16,5.89,2.34,27, rse-server-12,
,                                                   ,           ,                ,           ,36.55,7.14,3.27,0, rse-server-15,
8/31/2018 9:16,        data\61883_forwardedatbadirqlallocate_1.bpl,     94.93s,       4 clients,         RB,127.16,83.33,9.05,84.09,,
,                                                   ,           ,                ,           ,25.78,24.41,2.34,17.41, rse-server-13,
,                                                   ,           ,                ,           ,27.47,19.63,1.39,37.72, rse-server-14,
,                                                   ,           ,                ,           ,23.86,29.77,0.91,28.96, rse-server-12,
,                                                   ,           ,                ,           ,50.05,9.53,4.41,0, rse-server-15,
8/31/2018 10:10,        data\61883_forwardedatbadirqlallocate_1.bpl,     31.37s,       4 clients,         RB,44.88,21.36,3.61,9.91,,
,                                                   ,           ,                ,           ,11.2,6.88,0.67,0.44, rse-server-13,
,                                                   ,           ,                ,           ,7.63,7.58,0.5,4.52, rse-server-14,
,                                                   ,           ,                ,           ,8.83,6.88,0.61,4.95, rse-server-12,
,                                                   ,           ,                ,           ,17.22,0.03,1.83,0, rse-server-15,
8/31/2018 10:15,        data\61883_forwardedatbadirqlallocate_1.bpl,     54.09s,       4 clients,         RB,75.97,9,8.31,9.89,,
